,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
15,Leeroy Stagger,Me and the Mountain,Open Up Your Heart,0rcnULSFEtGQ7SE1jTJPvn,0.463,0.713,4,-8.611,1,0.0414,6.61e-06,0.136,0.756,78.031,231251,4
16,"Earth, Wind & Fire",September,September,7Cuk8jsPPoNYQWXK9XRFvG,0.694,0.831,9,-7.288,1,0.0301,0.000892,0.25,0.98,125.901,215080,4
17,Feist,The Reminder,1234,2CzWeyC9zlDpIOZPUUKrBW,0.71,0.484,2,-7.415,1,0.049,3.93e-06,0.0879,0.576,109.951,183667,4
18,By Divine Right,Good Morning Beautiful,Soul Explosion,6AMBmRjjVsGKiRlyxzAVXi,0.487,0.762,9,-6.431,1,0.0292,5.79e-06,0.132,0.515,130.519,225333,3
19,Spin Doctors,Pocket Full Of Kryptonite,Two Princes,4ePP9So5xRzspjLFVVbj90,0.543,0.912,7,-10.71,1,0.0601,2.1e-06,0.0565,0.836,103.731,256733,4
20,Jimmy Rankin,Moving East,Loving You Never Gets Old,3SrKpf4xPJmDZMAxkLFIOI,0.54,0.956,7,-3.676,1,0.0418,7.75e-06,0.259,0.765,104.933,156880,4
21,The Monkees,The Definitive Monkees,I'm a Believer,5RKZ9zCtLjBLTea7qkSFqr,0.519,0.772,0,-6.784,1,0.0331,1.21e-05,0.271,0.961,79.618,166907,4
22,Dexys Midnight Runners,Too Rye Ay (Deluxe Edition),Come On Eileen,5uzNa0SBGOe5pPnstWHMCt,0.466,0.615,0,-9.102,1,0.0492,0,0.343,0.812,108.016,273720,4
23,Craig Cardiff,Yellowknife,Yellowknife,6CWyaBTLqx0hWGNmN7tA4J,0.481,0.46,4,-12.801,1,0.242,0,0.298,0.526,98.115,180832,3
24,Marvin Gaye,United,Ain't No Mountain High Enough,7tqhbajSfrz2F7E1Z75ASX,0.663,0.6,7,-10.87,1,0.032,0,0.184,0.8,129.991,151667,4
25,Owl City,The Midsummer Station,Good Time,1kPpge9JDLpcj15qgrPbYX,0.56,0.872,3,-4.269,1,0.14,6.98e-06,0.371,0.682,126.05,205933,4
26,Jeremy Benjamin,Wonderlove,Wonderlove,7IqI28al5iZVVfxr64g6nR,0.724,0.767,6,-6.908,0,0.0555,8.62e-06,0.172,0.74,104.989,194813,4
27,Rick Astley,Whenever You Need Somebody,Never Gonna Give You Up,4uLU6hMCjMI75M1A2tKUQC,0.721,0.939,8,-11.823,1,0.0376,3.79e-05,0.108,0.914,113.309,213573,4
28,Virginia To Vegas,Utopian,We Are Stars (Featuring Alyssa Reid),45pQlGqXDJDhgR4GKPbd7r,0.641,0.661,11,-6.574,1,0.0295,0.000318,0.0847,0.319,100.025,234200,4
29,Average White Band,AWB,Pick Up the Pieces,2x1LQq8lsUzAA2wNj8yjC9,0.768,0.853,10,-5.915,0,0.0427,0.13,0.0188,0.889,107.234,239908,4
30,Chicago,Chicago V (Expanded & Remastered),Saturday in the Park - 2002 Remaster,4OJFkrRQqol4FsPesF8eu4,0.668,0.76,7,-6.831,1,0.034,0,0.0803,0.61,114.378,235667,4
31,Chilliwack,Look In Look Out,Don't Stop,2y45ySOyoJde2NnlGgFDBC,0.774,0.534,7,-20.017,1,0.0315,0,0.0408,0.913,116.335,243493,4
32,The Beach Boys,Smiley Smile (Remastered),Good Vibrations - Remastered,5t9KYe0Fhd5cW6UYT4qP8f,0.396,0.473,10,-7.67,0,0.0345,0.000124,0.109,0.385,133.449,219027,4
33,The Cure,Wish,Friday I'm In Love,20CNpCKq1oTdvekXaboyeq,0.526,0.763,0,-12.663,0,0.0341,6.75e-05,0.359,0.514,136.205,215160,4
34,Andy Stochansky,100,Shine,0KdprtD7BiQiYM508cQJss,0.432,0.868,4,-3.886,1,0.0447,7.66e-06,0.312,0.342,120.411,212533,4
35,Alabama Shakes,Boys & Girls,Hold On,60kEbEbxKPyuLGJaONFAPU,0.57,0.665,5,-5.491,1,0.0301,0.401,0.0859,0.538,88.363,226187,4
36,Old Man Luedecke,Domestic Eccentric,Yodelady,68fJc9cKIOFCUDOcFear7I,0.631,0.549,7,-9.712,1,0.0342,2.69e-05,0.0786,0.803,123.472,186681,4
37,Four Tops,Four Tops Second Album,"I Can't Help Myself (Sugar Pie, Honey Bunch)",6b6IMqP565TbtFFZg9iFf3,0.667,0.599,0,-8.894,1,0.0291,0,0.107,0.971,127.935,160280,4
38,The Isley Brothers,Shout!,"Shout, Pts. 1 & 2",2ZNTPtYmAhN9vCwnAgqKn1,0.489,0.866,10,-7.433,1,0.0933,0,0.876,0.416,138.63,268560,4
39,The Doobie Brothers,Toulouse Street,Listen to the Music,7Ar4G7Ci11gpt6sfH9Cgz5,0.645,0.598,1,-13.18,0,0.0335,3.53e-06,0.0721,0.913,105.929,227267,4
40,Barney Bentall & The Legendary Hearts,Barney Bentall and the Legendary Hearts,Come Back to Me,5xsEVFoXggTCGdeHRoCy5t,0.681,0.354,0,-18.491,1,0.0263,2.11e-05,0.246,0.936,107.099,222267,4
41,The Beatles,Abbey Road (Super Deluxe Edition),Octopus's Garden - 2019 Mix,3e1w0Wm0sH8nUYPArDkBG3,0.565,0.645,1,-6.194,0,0.0332,0.000625,0.124,0.626,92.253,170800,4
42,Gowan,Best Of...,Dancing On My Own Ground,6Tciiz8JyL5iINA49LlZx1,0.591,0.803,1,-7.676,1,0.0274,0.00116,0.269,0.925,105.399,251027,4
43,The Once,Row Upon Row of the People They Know,You’re My Best Friend,5QLgt9ipb9PiDonkfrxlGD,0.711,0.151,0,-11.701,1,0.0357,0,0.073,0.464,114.946,187987,4
44,Buffy Sainte-Marie,Power In The Blood,Farm In The Middle Of Nowhere,0H3SYOgMIYI04Udj3POl0J,0.676,0.532,7,-7.488,1,0.03,2.87e-05,0.121,0.71,84.967,163023,3
45,Lynn Miles,Love Sweet Love,Love Sweet Love,2jeIZ5yEu2tzTsiP4yPQaw,0.701,0.482,11,-7.18,0,0.0286,0.00809,0.106,0.242,113.031,146173,4
46,Matt Andersen,Honest Man,Let’s Get Back,1Ui32TCLSP8hcZuf7MyTln,0.618,0.814,0,-3.752,1,0.0313,3.23e-05,0.175,0.255,86.388,263846,4
47,The Archies,Everything's Archie,Sugar Sugar,6MTd61g9zq6CB1FnJydjEb,0.757,0.727,2,-7.259,1,0.0275,0,0.108,0.966,122.439,167213,4
48,K'NAAN,Troubadour (Champion Edition - Asian Version),Wavin' Flag - Coca-Cola® Celebration Mix,4nOygULhEuDO5ZBRNPFaso,0.58,0.767,0,-4.174,1,0.0557,0,0.0518,0.776,151.845,212520,4
49,Sam Roberts Band,Love At The End Of The World,Them Kids,1qOflahziGtAiQVIhwjg8L,0.305,0.96,0,-5.048,1,0.0509,0.0266,0.119,0.851,186.06,238520,4
50,Marky Mark And The Funky Bunch,Music For The People,Good Vibrations,5hWdgGVcfTeLPAiHM6EZG9,0.711,0.951,1,-8.406,1,0.0537,0.366,0.0229,0.903,121.656,269307,4
51,R.E.M.,Out Of Time (25th Anniversary Edition),Shiny Happy People,1v2zyAJrChw5JnfafSkwkJ,0.452,0.909,9,-3.977,1,0.0366,0.0603,0.23,0.805,124.623,225787,4
52,Little Suns,Norman Human Feelings,Sunboat,4qC6eS6fpf2o6B5I6SS69l,0.556,0.767,8,-5.36,1,0.0284,5.09e-06,0.304,0.929,165.847,236231,1
53,King Harvest,Dancing in the Moonlight,Dancing in the Moonlight,0q21FNwES2bbtcduB6kjEU,0.657,0.435,10,-15.707,1,0.0552,0,0.167,0.771,135.975,181133,4
54,Chilliwack,Wanna Be A Star,I Believe,5K2MHXsiPXxL4Y2sItKyR6,0.557,0.688,9,-9.98,1,0.0324,5.89e-05,0.0841,0.796,91.048,239133,4
55,Sheryl Crow,Tuesday Night Music Club,All I Wanna Do,4cqHVuDLFbO1XCr4nmks4S,0.82,0.528,9,-11.179,1,0.0321,0.0186,0.257,0.931,120.091,272107,4
56,Various Artists,Justice Crew Party Mix,Raise Your Glass,1h8j9zvXdltYGKjzNyrTuj,0.682,0.644,7,-6.513,1,0.121,2.73e-06,0.121,0.563,122.381,207573,4
57,All About Maggie,Now Hear Me Out,Paint My Name,2VykkqN8c19F5hpKvzmAAq,0.665,0.631,6,-3.267,1,0.051,0,0.277,0.847,142.891,160987,4
58,Ronnie Earl,Beyond the Blue Door,Brand New Me,1AOwpcHvpW2Jekwaz4DvrB,0.526,0.792,10,-4.922,1,0.0352,6.41e-05,0.0871,0.645,115.165,271093,4
59,U2,All That You Can't Leave Behind,Beautiful Day,0gzqZ9d1jIKo9psEIthwXe,0.536,0.928,11,-6.492,0,0.0589,0.00134,0.2,0.389,136.258,248400,4
60,Gowan,Strange Animal,Walking On Air,0dvEeqaWwDIVzVoYrMQRld,0.623,0.485,2,-15.429,1,0.0332,0.0891,0.325,0.677,135.366,294160,4
61,Blue Swede,Hooked On A Feeling,Hooked on a Feeling,6Ac4NVYYl2U73QiTt11ZKd,0.547,0.82,8,-6.728,1,0.0805,0,0.3,0.933,118.208,172867,4
62,Kool & The Gang,Celebration / Morning Star,Celebration - Single Version,6pc8xULSlsMdFB3OrqbvZ4,0.843,0.656,1,-11.184,1,0.0595,0.0187,0.169,0.931,121.112,215653,4
63,Cyndi Lauper,The Essential Cyndi Lauper,Girls Just Want to Have Fun,6Ki8gmCpmrsDprpPjxqTa7,0.707,0.798,6,-4.874,1,0.0319,0.000663,0.363,0.774,120.398,235467,4
64,Prince,Purple Rain,Let's Go Crazy,0QeI79sp1vS8L3JgpEO7mD,0.309,0.93,11,-6.399,1,0.125,0.0022,0.106,0.376,195.815,280000,4
65,Taylor Swift,1989 (Deluxe),Shake It Off,0cqRj7pUJDkTCEsJkx8snD,0.647,0.8,7,-5.384,1,0.165,0,0.334,0.942,160.078,219200,4
66,Madeline Merlo,Neon Love,Neon Love,20N43ngRf1SK2LOTmQMGbl,0.659,0.74,6,-5.759,0,0.0385,0,0.0975,0.753,90.051,189253,4
67,Carly Rae Jepsen,Kiss,Call Me Maybe,20I6sIOMTCkB6w7ryavxtO,0.783,0.58,7,-6.548,1,0.0408,2.28e-06,0.108,0.66,120.021,193400,4
68,DNCE,DNCE,Cake By The Ocean,76hfruVvmfQbw0eYn1nmeC,0.774,0.753,4,-5.446,0,0.0517,0,0.0371,0.896,119.002,219147,4
69,Jimmy Rankin,Back Road Paradise,Whiskey When the Sun Goes Down,0IZC94DXLCTnTz86OBVOW2,0.568,0.871,9,-3.067,1,0.032,1.32e-05,0.307,0.778,124.054,158947,4
70,Black Eyed Peas,The Beginning & The Best Of The E.N.D. (International Mega-Deluxe Version),I Gotta Feeling,1u0aIMrEBvFkRtgcg264gW,0.74,0.751,0,-6.324,1,0.0275,0,0.392,0.634,127.956,289187,4
71,Katy Perry,PRISM (Deluxe),Roar,6F5c58TMEs1byxUstkzVeM,0.554,0.772,7,-4.821,0,0.0418,6.6e-06,0.354,0.455,179.984,223546,4
72,Sophie Milman,Sophie Milman,My Baby Just Cares For Me,5luEM6rQ6xj9mXHoecLwVJ,0.639,0.591,8,-6.568,1,0.0328,4.34e-06,0.328,0.623,121.862,214547,4
73,Mt. Joy,Silver Lining,Silver Lining,2fpDrL2Vpee0JnM6AoUFvl,0.486,0.638,0,-6.231,1,0.0323,0,0.078,0.178,144.458,199827,4
74,Vance Joy,Dream Your Life Away,Mess Is Mine,7BVwi9cIzSc6tpyxsp47vJ,0.595,0.723,7,-8.256,1,0.0349,0.0286,0.0995,0.272,108.043,223640,1
75,Nathaniel Rateliff & The Night Sweats,Nathaniel Rateliff & The Night Sweats,S.O.B.,1hWQvA6oGVJ2mAVsZ59AaV,0.699,0.579,1,-6.504,1,0.0416,0.00602,0.452,0.128,109.948,247613,4
76,The Lumineers,The Lumineers,Ho Hey,0W4Kpfp1w2xkY3PrV714B7,0.685,0.466,0,-9.074,1,0.0304,2.06e-06,0.0915,0.353,79.936,163133,4
77,John Mayer,Paradise Valley,Wildfire,0QTCTu0CXv4X1JEE4gNpGv,0.719,0.665,8,-8.589,1,0.0331,0.00092,0.144,0.763,96.999,253493,4
78,Colin James,Colin James and the Little Big Band II,Let's Shout (Baby Work Out),2BtY1PUmHXgK65Jfh1qavU,0.431,0.92,1,-2.993,0,0.0579,3.73e-06,0.284,0.72,134.985,192107,4
79,The Strumbellas,Spirits,Spirits,0VhDlpezWuAgOnfOCx2fRv,0.552,0.724,0,-3.698,1,0.0271,0,0.11,0.774,80.516,203653,4
80,OK Go,Oh No,Here It Goes Again,1pHP4JeQV9wDx87D6qH9hD,0.537,0.882,0,-2.306,1,0.0403,9.06e-05,0.12,0.81,145.729,179813,4
81,The Mahones,The Black Irish,Girl With Galway Eyes,3hvVvaRLRj0I9cfdzp2YLc,0.473,0.778,2,-7.491,1,0.0329,3.78e-05,0.448,0.9,96.664,201280,4
82,Hootie & The Blowfish,Cracked Rear View,Only Wanna Be with You,1OFKUn2VLafrHj7ybnap0Q,0.49,0.873,6,-5.861,1,0.0355,5.19e-06,0.118,0.513,103.272,229587,4
83,Downchild,Can You Hear The Music,Can You Hear The Music?,6HsozYnNEizQdDMKfvEihF,0.493,0.809,5,-4.257,1,0.0329,0.0012,0.113,0.962,166.77,245547,4
84,LEN,You Can't Stop The Bum Rush,Steal My Sunshine,4agp6oHofabdUedr0B1krj,0.413,0.829,4,-11.111,1,0.529,0,0.108,0.677,191.477,265533,4
85,Toronto,Get It On Credit,Your Daddy Don't Know,7l5e4LE8XfewYpePTSg4Oa,0.575,0.693,5,-5.313,1,0.0528,0.000285,0.573,0.859,127.905,197133,4
86,Chumbawamba,Tubthumper,Tubthumping,6dL46HEj2hzaSach8EFyCi,0.319,0.881,2,-7.244,1,0.14,0,0.364,0.625,206.941,279227,4
87,Natalie MacMaster,Sketches,The Golden Eagle,4mCNQBoZtqh2Fgm9FRC3x4,0.531,0.664,2,-7.239,1,0.0555,0.0421,0.0818,0.642,115.855,265127,4
88,Blur,Blur [Special Edition],Song 2 - 2012 Remaster,1FTSo4v6BOZH9QxKc3MbVM,0.674,0.789,8,-6.903,1,0.0676,0.0071,0.0754,0.918,129.804,121160,4
89,Kira Isabella,Sides,Holiday,1RKUxD6HMCSdbdV0dMABq6,0.634,0.691,3,-5.493,1,0.0284,0,0.0982,0.754,114.029,186160,4
90,Lennon Stella,Summer Feelings (feat. Charlie Puth),Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album,49dFIRQCQxPWgoH0m38XQ5,0.696,0.686,5,-6.113,0,0.0309,0,0.174,0.7,115.982,160289,4
91,Katy Perry,Smile,Smile,3DXdjHnePKnh6oXw2ZgGSl,0.783,0.912,0,-3.713,1,0.243,0,0.339,0.749,98.025,166898,4
92,Matt Andersen,Halfway Home By Morning,Free Man,0nYwa7WxRHEHudCTw1Y5bO,0.568,0.662,10,-7.876,1,0.0395,3.39e-05,0.082,0.42,95.573,186320,4
93,The Once,Time Enough,Any Other Way,3nDfAy4GxmDKZs0FNjsVWa,0.638,0.715,1,-7.617,1,0.0389,6.24e-06,0.083,0.676,143.996,227080,4
94,The Emotions,Rejoice,Best of My Love,2M2WJ7gBlcKNxdhyfPp9zY,0.784,0.713,0,-6.865,1,0.0339,0.14,0.0904,0.97,115.443,220560,4
95,The Fugitives,The Promise of Strangers,Northern Lights (for Steel Audrey),04lePh6U6c5plEx1ubdAin,0.551,0.664,2,-7.005,1,0.0298,0.00094,0.277,0.26,102.015,241867,4
96,Portugal. The Man,Woodstock,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,0.801,0.795,1,-5.115,0,0.0504,0.000113,0.0717,0.754,79.028,163253,4
97,C2C,Tetra,Down The Road,1x5MjCffpcdHLf65eR9r3T,0.72,0.595,2,-6.109,0,0.0976,4.73e-05,0.0775,0.486,111.0,207187,4
98,The New Pornographers,Brill Bruisers,Champions Of Red Wine,3ObgpRfQWwodgXfpEyzbAp,0.609,0.796,2,-6.832,1,0.0268,0.689,0.273,0.469,137.019,220880,3
