,Unnamed: 0,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
42,42,Gowan,Best Of...,Dancing On My Own Ground,6Tciiz8JyL5iINA49LlZx1,0.591,0.8029999999999999,1,-7.676,1,0.0274,0.00116,0.26899999999999996,0.925,105.399,251027,4,1
9,9,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,1EzrEOXmMH3G43AXT1y7pA,0.6859999999999999,0.457,11,-8.322000000000001,1,0.0468,0.0,0.105,0.718,150.953,242187,4,1
39,39,The Doobie Brothers,Toulouse Street,Listen to the Music,7Ar4G7Ci11gpt6sfH9Cgz5,0.645,0.598,1,-13.18,0,0.0335,3.53e-06,0.0721,0.9129999999999999,105.929,227267,4,1
81,81,LANY,Malibu Nights,Malibu Nights,0Eqg0CQ7bK3RQIMPw1A7pl,0.5589999999999999,0.42200000000000004,11,-11.89,1,0.195,1.99e-06,0.0853,0.191,74.002,286928,4,0
15,15,Leeroy Stagger,Me and the Mountain,Open Up Your Heart,0rcnULSFEtGQ7SE1jTJPvn,0.46299999999999997,0.713,4,-8.611,1,0.0414,6.61e-06,0.136,0.7559999999999999,78.031,231251,4,1
40,40,Barney Bentall & The Legendary Hearts,Barney Bentall and the Legendary Hearts,Come Back to Me,5xsEVFoXggTCGdeHRoCy5t,0.6809999999999999,0.354,0,-18.491,1,0.0263,2.11e-05,0.24600000000000002,0.9359999999999999,107.09899999999999,222267,4,1
24,24,Ali Gatie,YOU,Moonlight,6L4F4btXioJPhEwz6T7YYt,0.804,0.479,11,-6.6610000000000005,1,0.0321,0.0,0.0994,0.462,120.0,228484,4,0
88,88,Blur,Blur [Special Edition],Song 2 - 2012 Remaster,1FTSo4v6BOZH9QxKc3MbVM,0.674,0.789,8,-6.903,1,0.0676,0.0071,0.0754,0.9179999999999999,129.804,121160,4,1
2,2,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",6JV2JOEocMgcZxYSZelKcc,0.667,0.83,0,-5.715,1,0.0749,0.0,0.191,0.701,113.03,236002,4,1
59,59,U2,All That You Can't Leave Behind,Beautiful Day,0gzqZ9d1jIKo9psEIthwXe,0.536,0.9279999999999999,11,-6.492000000000001,0,0.0589,0.00134,0.2,0.389,136.25799999999998,248400,4,1
87,87,Natalie MacMaster,Sketches,The Golden Eagle,4mCNQBoZtqh2Fgm9FRC3x4,0.531,0.664,2,-7.239,1,0.0555,0.0421,0.0818,0.642,115.855,265127,4,1
54,54,Chilliwack,Wanna Be A Star,I Believe,5K2MHXsiPXxL4Y2sItKyR6,0.557,0.688,9,-9.98,1,0.0324,5.8899999999999995e-05,0.0841,0.7959999999999999,91.04799999999999,239133,4,1
60,60,Jeremy Zucker,brent,scared,6r2JV75tE0vNgNCv4HKsBC,0.583,0.075,5,-15.843,1,0.0726,1.4e-06,0.111,0.34700000000000003,108.41799999999999,207520,4,0
17,17,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,0.501,0.405,1,-5.678999999999999,1,0.0319,0.0,0.105,0.446,109.891,182161,4,0
64,64,Prince,Purple Rain,Let's Go Crazy,0QeI79sp1vS8L3JgpEO7mD,0.309,0.93,11,-6.399,1,0.125,0.0022,0.106,0.376,195.815,280000,4,1
46,46,Matt Andersen,Honest Man,Let’s Get Back,1Ui32TCLSP8hcZuf7MyTln,0.618,0.8140000000000001,0,-3.752,1,0.0313,3.229999999999999e-05,0.175,0.255,86.38799999999999,263846,4,1
44,44,Tate McRae,all the things i never said,that way,7l97ElWmIdVHWUaOeeU5ZC,0.45299999999999996,0.38299999999999995,0,-11.015,1,0.163,0.0,0.387,0.33299999999999996,105.029,175027,4,0
81,81,The Mahones,The Black Irish,Girl With Galway Eyes,3hvVvaRLRj0I9cfdzp2YLc,0.473,0.778,2,-7.4910000000000005,1,0.0329,3.78e-05,0.44799999999999995,0.9,96.664,201280,4,1
19,19,Selena Gomez,The Heart Wants What It Wants,The Heart Wants What It Wants,6wJwkMo278iWVlWl1XQ4WA,0.616,0.789,7,-4.874,0,0.0377,0.0,0.142,0.621,83.066,227373,4,0
96,96,Lana Del Rey,Video Games,Video Games,5xTEkzHycz81QTcqCS9oVv,0.336,0.298,6,-8.547,0,0.0324,2.6e-06,0.0858,0.203,123.85600000000001,284500,4,0
74,74,Noah Cyrus,THE END OF EVERYTHING,Lonely,6U1iuA5QfzYRPJxvdcxqtf,0.53,0.281,5,-8.274,1,0.0577,0.0,0.0928,0.341,122.44200000000001,144377,4,0
0,0,Pharrell Williams,G I R L,"Happy - From ""Despicable Me 2""",60nZcImufyMA1MKQY3dcCH,0.647,0.8220000000000001,5,-4.662,0,0.183,0.0,0.0908,0.9620000000000001,160.019,232720,4,1
95,95,The Fugitives,The Promise of Strangers,Northern Lights (for Steel Audrey),04lePh6U6c5plEx1ubdAin,0.551,0.664,2,-7.005,1,0.0298,0.0009400000000000001,0.27699999999999997,0.26,102.015,241867,4,1
80,80,OK Go,Oh No,Here It Goes Again,1pHP4JeQV9wDx87D6qH9hD,0.537,0.882,0,-2.306,1,0.0403,9.059999999999999e-05,0.12,0.81,145.72899999999998,179813,4,1
4,4,Katrina & The Waves,Katrina & The Waves,Walking On Sunshine,05wIrZSwuaVWhcv5FfqeH0,0.596,0.8690000000000001,10,-11.97,1,0.037000000000000005,0.17300000000000001,0.0678,0.9440000000000001,109.902,238733,4,1
6,6,Ali Gatie,What If I Told You That I Love You,What If I Told You That I Love You,3cqPu20DGTGUoZtbJH2Dmi,0.605,0.365,7,-11.144,1,0.111,6.83e-06,0.0554,0.22399999999999998,84.62799999999999,193668,4,0
41,41,The Beatles,Abbey Road (Super Deluxe Edition),Octopus's Garden - 2019 Mix,3e1w0Wm0sH8nUYPArDkBG3,0.565,0.645,1,-6.194,0,0.0332,0.000625,0.124,0.626,92.25299999999999,170800,4,1
95,95,Calum Scott,Only Human (Special Edition),You Are The Reason - Duet Version,1x3W8RZxW94lrVGhP95qA6,0.40299999999999997,0.35600000000000004,10,-7.547000000000001,1,0.0298,0.0,0.14800000000000002,0.151,171.454,190760,3,0
44,44,Buffy Sainte-Marie,Power In The Blood,Farm In The Middle Of Nowhere,0H3SYOgMIYI04Udj3POl0J,0.6759999999999999,0.532,7,-7.4879999999999995,1,0.03,2.8699999999999996e-05,0.121,0.71,84.96700000000001,163023,3,1
24,24,Marvin Gaye,United,Ain't No Mountain High Enough,7tqhbajSfrz2F7E1Z75ASX,0.6629999999999999,0.6,7,-10.87,1,0.032,0.0,0.184,0.8,129.991,151667,4,1
13,13,Anson Seabra,Robin Hood,Robin Hood,5dyihZecYMcEPq09Bk2OL2,0.634,0.153,4,-14.409,1,0.0622,0.0,0.134,0.318,77.77,221538,4,0
26,26,Khalid,American Teen,Coaster,39KG4kom3enSx4GTThuDGt,0.441,0.21899999999999997,8,-14.585999999999999,1,0.0419,0.0,0.115,0.244,94.021,199120,4,0
85,85,NF,The Search,Hate Myself,5PdEiev2BkKiZtZFcNKjfM,0.5329999999999999,0.84,9,-5.2829999999999995,0,0.16699999999999998,0.0,0.114,0.361,116.882,260253,4,0
25,25,Jaymes Young,Happiest Year,Happiest Year,5kcvBnt6DPX3AMEsCx1qDh,0.501,0.16699999999999998,1,-14.061,1,0.0484,0.0,0.111,0.35600000000000004,112.275,228443,3,0
89,89,Kira Isabella,Sides,Holiday,1RKUxD6HMCSdbdV0dMABq6,0.634,0.691,3,-5.492999999999999,1,0.0284,0.0,0.0982,0.754,114.029,186160,4,1
16,16,Logic,Everybody,1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,0.62,0.574,5,-7.787999999999999,0,0.0479,0.0,0.19,0.35700000000000004,100.023,250173,4,0
50,50,Declan J Donovan,Fallen so Young,Fallen so Young,3y4uSQwxHckyRcvafEilkN,0.552,0.35600000000000004,10,-7.608,1,0.027000000000000003,0.0,0.17300000000000001,0.196,109.76299999999999,232164,4,0
37,37,James Arthur,James Arthur (Deluxe),Impossible - Acoustic,0JswmIBSn3XZ15wEEtH5fj,0.37,0.419,2,-5.314,1,0.0382,0.0,0.121,0.255,145.866,250653,4,0
89,89,Frank Ocean,Blonde,White Ferrari,2LMkwUfqC6S6s6qDVlEuzV,0.444,0.0924,0,-15.605,1,0.0366,0.0,0.304,0.21899999999999997,108.917,248808,4,0
35,35,Ali Gatie,Can't Lie,Can't Lie,3qWZuhWi4lsHa7jUwhqfMr,0.802,0.414,7,-10.635,1,0.0776,0.0,0.0863,0.377,131.952,195066,4,0
94,94,Wiz Khalifa,See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),2JzZzZUQj3Qff7wapcbKjc,0.6890000000000001,0.48100000000000004,10,-7.502999999999999,1,0.0815,1.03e-06,0.0649,0.28300000000000003,80.025,229526,4,0
5,5,Billie Eilish,lovely (with Khalid),lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,0.35100000000000003,0.29600000000000004,4,-10.109,0,0.0333,0.0,0.095,0.12,115.28399999999999,200186,4,0
67,67,Carly Rae Jepsen,Kiss,Call Me Maybe,20I6sIOMTCkB6w7ryavxtO,0.7829999999999999,0.58,7,-6.547999999999999,1,0.0408,2.28e-06,0.10800000000000001,0.66,120.021,193400,4,1
8,8,Birdy,Birdy,Skinny Love,4RL77hMWUq35NYnPLXBpih,0.379,0.29,4,-8.485,1,0.051,0.00106,0.11800000000000001,0.16899999999999998,166.467,201080,4,0
83,83,Downchild,Can You Hear The Music,Can You Hear The Music?,6HsozYnNEizQdDMKfvEihF,0.493,0.809,5,-4.257,1,0.0329,0.0012,0.113,0.9620000000000001,166.77,245547,4,1
55,55,beaurial,Why Can't We Go Back,Why Can't We Go Back,50E7VDssTF9on4fEVrKS7F,0.608,0.28300000000000003,2,-12.479000000000001,0,0.0324,0.00294,0.318,0.168,169.988,173647,4,0
27,27,Dean Lewis,A Place We Knew,Half A Man,1ugQtcwmKOXvKAYzhjncmv,0.507,0.204,0,-11.575,1,0.0504,0.0,0.14300000000000002,0.34299999999999997,77.765,179120,4,0
87,87,Hillsong UNITED,Zion,Oceans (Where Feet May Fail),5SDcksP8En1l6RtTY1wzHc,0.264,0.363,2,-10.196,1,0.0338,0.00406,0.11,0.0613,124.32799999999999,536000,4,0
15,15,Selena Gomez,Rare,Lose You To Love Me,4l0Mvzj72xxOpRrp6h8nHi,0.488,0.34299999999999997,4,-8.985,1,0.0436,0.0,0.21,0.0978,102.819,206459,4,0
90,90,Lennon Stella,Summer Feelings (feat. Charlie Puth),Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album,49dFIRQCQxPWgoH0m38XQ5,0.696,0.6859999999999999,5,-6.1129999999999995,0,0.0309,0.0,0.174,0.7,115.98200000000001,160289,4,1
53,53,King Harvest,Dancing in the Moonlight,Dancing in the Moonlight,0q21FNwES2bbtcduB6kjEU,0.657,0.435,10,-15.707,1,0.0552,0.0,0.16699999999999998,0.7709999999999999,135.975,181133,4,1
58,58,Labrinth,Jealous,Jealous,4L2K7JKseFCBoHMZEAszW0,0.435,0.155,1,-8.948,1,0.046,0.0,0.107,0.0935,128.532,287693,3,0
75,75,Calum Scott,Only Human (Deluxe),Dancing On My Own,2BOqDYLOJBiMOXShCV1neZ,0.682,0.17300000000000001,1,-8.749,1,0.0314,3.26e-05,0.0983,0.23600000000000002,112.663,260285,4,0
97,97,Halsey,hopeless fountain kingdom (Deluxe),Sorry,44n97yHySt0Z9rqPaXgjCK,0.513,0.25,5,-9.376,0,0.0367,0.0,0.11699999999999999,0.35100000000000003,74.10300000000001,220541,4,0
57,57,XXXTENTACION,17,Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,0.872,0.391,0,-9.144,0,0.242,4.13e-06,0.297,0.43700000000000006,134.02100000000002,119133,4,0
65,65,Taylor Swift,1989 (Deluxe),Shake It Off,0cqRj7pUJDkTCEsJkx8snD,0.647,0.8,7,-5.3839999999999995,1,0.165,0.0,0.33399999999999996,0.9420000000000001,160.078,219200,4,1
42,42,XXXTENTACION,?,changes,7AFASza1mXqntmGtbxXprO,0.669,0.308,11,-10.068,1,0.028999999999999998,0.0,0.0984,0.52,64.934,121887,4,0
21,21,The Monkees,The Definitive Monkees,I'm a Believer,5RKZ9zCtLjBLTea7qkSFqr,0.519,0.772,0,-6.784,1,0.0331,1.21e-05,0.271,0.961,79.618,166907,4,1
93,93,The Once,Time Enough,Any Other Way,3nDfAy4GxmDKZs0FNjsVWa,0.638,0.715,1,-7.617000000000001,1,0.0389,6.24e-06,0.083,0.6759999999999999,143.996,227080,4,1
23,23,Nick Lopez,Come Over,Come Over,4CmRWCA43bVbHZ6zbCjClw,0.86,0.361,5,-10.94,1,0.0612,0.0,0.125,0.787,104.96600000000001,121121,4,0
34,34,Sasha Sloan,Older,Older,52iLDrSoRtf9lcgFuLVfqE,0.6809999999999999,0.292,11,-9.599,1,0.0483,0.0,0.0974,0.162,64.002,191002,4,0
43,43,The Once,Row Upon Row of the People They Know,You’re My Best Friend,5QLgt9ipb9PiDonkfrxlGD,0.711,0.151,0,-11.700999999999999,1,0.0357,0.0,0.073,0.46399999999999997,114.946,187987,4,1
78,78,Colin James,Colin James and the Little Big Band II,Let's Shout (Baby Work Out),2BtY1PUmHXgK65Jfh1qavU,0.431,0.92,1,-2.9930000000000003,0,0.0579,3.73e-06,0.284,0.72,134.985,192107,4,1
98,98,The New Pornographers,Brill Bruisers,Champions Of Red Wine,3ObgpRfQWwodgXfpEyzbAp,0.609,0.7959999999999999,2,-6.832000000000001,1,0.0268,0.6890000000000001,0.273,0.469,137.019,220880,3,1
6,6,Jack Johnson,Jack Johnson And Friends: Sing-A-Longs And Lullabies For The Film Curious George,Upside Down,6shRGWCtBUOPFLFTTqXZIC,0.787,0.655,6,-8.339,0,0.0431,0.000171,0.138,0.65,102.485,208653,4,1
76,76,A Great Big World,Is There Anybody Out There?,Say Something,6Vc5wAMmXdKIAM7WUoEb7N,0.40700000000000003,0.147,2,-8.822000000000001,1,0.0355,2.89e-06,0.0913,0.0765,141.284,229400,3,0
45,45,Lynn Miles,Love Sweet Love,Love Sweet Love,2jeIZ5yEu2tzTsiP4yPQaw,0.701,0.48200000000000004,11,-7.18,0,0.0286,0.00809,0.106,0.242,113.031,146173,4,1
45,45,Anne-Marie,Her,Her,2GjQ5KNXggsIRpx5ZUj2zX,0.5670000000000001,0.395,10,-5.568,1,0.0303,0.0,0.106,0.32899999999999996,119.84899999999999,177569,4,0
31,31,Chilliwack,Look In Look Out,Don't Stop,2y45ySOyoJde2NnlGgFDBC,0.774,0.534,7,-20.017,1,0.0315,0.0,0.0408,0.9129999999999999,116.335,243493,4,1
29,29,James Arthur,Finally Feel Good,Finally Feel Good,1QyxXnQXlGqG28syVg3LyP,0.5770000000000001,0.6609999999999999,11,-4.962,1,0.134,0.0,0.076,0.737,79.009,215107,4,0
12,12,Various Artists,Kiss R&B Digital Downloads,Hey Ya!,2oRQmJitqUIwovf3Ttg4sw,0.7140000000000001,0.946,0,-4.779,1,0.0557,0.000463,0.187,0.966,79.52,236027,4,1
16,16,"Earth, Wind & Fire",September,September,7Cuk8jsPPoNYQWXK9XRFvG,0.6940000000000001,0.831,9,-7.287999999999999,1,0.0301,0.000892,0.25,0.98,125.90100000000001,215080,4,1
91,91,Katy Perry,Smile,Smile,3DXdjHnePKnh6oXw2ZgGSl,0.7829999999999999,0.912,0,-3.713,1,0.243,0.0,0.33899999999999997,0.7490000000000001,98.025,166898,4,1
75,75,Nathaniel Rateliff & The Night Sweats,Nathaniel Rateliff & The Night Sweats,S.O.B.,1hWQvA6oGVJ2mAVsZ59AaV,0.6990000000000001,0.579,1,-6.504,1,0.0416,0.00602,0.452,0.128,109.948,247613,4,1
88,88,LANY,Malibu Nights,If You See Her,3coUcc0CDAHz2QwdP7Pee8,0.635,0.679,1,-7.374,1,0.0861,0.0,0.0954,0.239,117.867,182901,4,0
85,85,Toronto,Get It On Credit,Your Daddy Don't Know,7l5e4LE8XfewYpePTSg4Oa,0.575,0.693,5,-5.313,1,0.0528,0.000285,0.573,0.8590000000000001,127.905,197133,4,1
3,3,Ali Gatie,Remedy,Remedy,4WahOhXKxmMKVnfVXQoEtk,0.777,0.647,4,-6.8020000000000005,0,0.32799999999999996,0.0,0.0771,0.606,82.71799999999999,187383,4,0
64,64,Lauv,~how i'm feeling~ (the extras),Love Like That,23tJmuwvUOa2kTsOlNMWCS,0.679,0.48100000000000004,3,-9.045,1,0.0593,1.0199999999999999e-05,0.284,0.486,80.01100000000001,184557,4,0
74,74,Vance Joy,Dream Your Life Away,Mess Is Mine,7BVwi9cIzSc6tpyxsp47vJ,0.595,0.723,7,-8.256,1,0.0349,0.0286,0.0995,0.272,108.04299999999999,223640,1,1
68,68,DNCE,DNCE,Cake By The Ocean,76hfruVvmfQbw0eYn1nmeC,0.774,0.753,4,-5.446000000000001,0,0.0517,0.0,0.0371,0.8959999999999999,119.00200000000001,219147,4,1
37,37,Four Tops,Four Tops Second Album,"I Can't Help Myself (Sugar Pie, Honey Bunch)",6b6IMqP565TbtFFZg9iFf3,0.667,0.599,0,-8.894,1,0.0291,0.0,0.107,0.971,127.935,160280,4,1
22,22,James Arthur,Back from the Edge,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,0.358,0.557,10,-7.398,1,0.059000000000000004,0.0,0.0902,0.494,85.04299999999999,211467,4,0
21,21,Alec Benjamin,Narrated For You,Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,0.652,0.557,1,-5.7139999999999995,0,0.0318,0.0,0.124,0.483,150.07299999999998,169354,4,0
2,2,XXXTENTACION,?,NUMB,01TnVDiet1DFTsyWKUKovl,0.414,0.41600000000000004,11,-8.024,0,0.0251,0.179,0.131,0.196,159.91,186268,4,0
10,10,Alec Benjamin,Narrated For You,Water Fountain,4IhKLu7Vk3j2TLmnFPl6To,0.723,0.504,8,-5.572,1,0.0392,7.4e-05,0.087,0.551,133.975,218893,4,0
41,41,Ed Sheeran,÷ (Deluxe),Happier,2RttW7RAu5nOAfq6YFvApB,0.522,0.385,0,-7.355,1,0.0288,0.0,0.135,0.23600000000000002,89.792,207520,4,0
17,17,Feist,The Reminder,1234,2CzWeyC9zlDpIOZPUUKrBW,0.71,0.484,2,-7.415,1,0.049,3.93e-06,0.0879,0.5760000000000001,109.95100000000001,183667,4,1
47,47,Billie Eilish,dont smile at me,ocean eyes,7hDVYcQq6MxkdJGweuCtl9,0.511,0.363,4,-7.65,0,0.040999999999999995,0.0317,0.084,0.16899999999999998,144.892,200379,4,0
72,72,Sophie Milman,Sophie Milman,My Baby Just Cares For Me,5luEM6rQ6xj9mXHoecLwVJ,0.639,0.591,8,-6.568,1,0.0328,4.34e-06,0.32799999999999996,0.623,121.86200000000001,214547,4,1
36,36,Peter Manos,In My Head,In My Head,3bne7Qit5AbHkX6kWDItYP,0.499,0.18100000000000002,9,-15.359000000000002,0,0.0429,0.00123,0.106,0.0747,111.956,214533,4,0
84,84,LEN,You Can't Stop The Bum Rush,Steal My Sunshine,4agp6oHofabdUedr0B1krj,0.413,0.8290000000000001,4,-11.110999999999999,1,0.529,0.0,0.10800000000000001,0.677,191.477,265533,4,1
27,27,Rick Astley,Whenever You Need Somebody,Never Gonna Give You Up,4uLU6hMCjMI75M1A2tKUQC,0.721,0.9390000000000001,8,-11.823,1,0.0376,3.79e-05,0.10800000000000001,0.914,113.309,213573,4,1
1,1,Juice WRLD,Legends Never Die,Smile (with The Weeknd),6wQlQrTY5mVS8EGaFZVwVF,0.6940000000000001,0.685,6,-6.535,0,0.133,0.0,0.124,0.306,158.83100000000002,196180,4,0
93,93,NF,Therapy Session,How Could You Leave Us,10bt2wAkFgCWRCEOyAyWT9,0.536,0.708,6,-7.882000000000001,1,0.758,0.0,0.0951,0.09,78.33,322587,4,0
33,33,The Cure,Wish,Friday I'm In Love,20CNpCKq1oTdvekXaboyeq,0.526,0.763,0,-12.663,0,0.0341,6.75e-05,0.359,0.514,136.205,215160,4,1
99,99,Russ,There's Really A Wolf,Losin Control,4cxMGhkinTocPSVVKWIw0d,0.759,0.245,6,-6.545,1,0.138,0.000154,0.102,0.209,96.992,237507,4,0
39,39,Natalie Taylor,Surrender,Surrender,0ecC8p17cDNlxHXkuYqeR6,0.39,0.44799999999999995,5,-8.57,0,0.0276,0.182,0.107,0.077,144.89,183103,5,0
82,82,Hootie & The Blowfish,Cracked Rear View,Only Wanna Be with You,1OFKUn2VLafrHj7ybnap0Q,0.49,0.873,6,-5.861000000000001,1,0.0355,5.19e-06,0.11800000000000001,0.513,103.272,229587,4,1
48,48,Birdy,Beautiful Lies,Deep End,555CH6CnGJRqO37pqA30vW,0.455,0.29600000000000004,2,-8.513,1,0.0399,0.0,0.0783,0.31,171.74400000000003,208840,4,0
36,36,Old Man Luedecke,Domestic Eccentric,Yodelady,68fJc9cKIOFCUDOcFear7I,0.631,0.5489999999999999,7,-9.712,1,0.0342,2.6899999999999997e-05,0.0786,0.8029999999999999,123.47200000000001,186681,4,1
33,33,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Bruises,4Of7rzpRpV1mWRbhp5rAqG,0.736,0.308,4,-7.83,1,0.0677,0.0,0.18600000000000003,0.361,111.20200000000001,220492,4,0
80,80,LANY,Malibu Nights,Thru These Tears,7GbAp0HKPQW7WnFJAzMoRk,0.711,0.517,11,-7.695,1,0.0391,0.0,0.149,0.294,119.945,204516,4,0
52,52,Little Suns,Norman Human Feelings,Sunboat,4qC6eS6fpf2o6B5I6SS69l,0.556,0.767,8,-5.36,1,0.0284,5.09e-06,0.304,0.929,165.847,236231,1,1
90,90,EDEN,vertigo,crash,7EkMIQ2PzEzwQroLl6dUvw,0.503,0.212,0,-12.735,0,0.0658,0.000293,0.12,0.185,118.492,232412,4,0
72,72,Juice WRLD,Legends,Legends,1Knctxx9vGZxpZfF66BIEa,0.594,0.7979999999999999,4,-5.244,1,0.0844,0.0,0.14300000000000002,0.381,142.049,191840,4,0
22,22,Dexys Midnight Runners,Too Rye Ay (Deluxe Edition),Come On Eileen,5uzNa0SBGOe5pPnstWHMCt,0.466,0.615,0,-9.102,1,0.0492,0.0,0.34299999999999997,0.812,108.016,273720,4,1
84,84,Lauv,I met you when I was 18. (the playlist),Breathe,373q2bp4ZvyJ9kFZcpJSMs,0.32,0.39299999999999996,4,-8.08,1,0.039,0.0,0.341,0.193,136.746,237810,4,0
61,61,Blue Swede,Hooked On A Feeling,Hooked on a Feeling,6Ac4NVYYl2U73QiTt11ZKd,0.547,0.82,8,-6.728,1,0.0805,0.0,0.3,0.9329999999999999,118.208,172867,4,1
63,63,Jordan Suaste,Body,Body,6wQgV6ZYt1snXyQV69mGT4,0.452,0.325,4,-8.687000000000001,0,0.0337,0.0,0.0645,0.33,97.98700000000001,205402,4,0
91,91,Adele,25,When We Were Young,0cj2joJcY6b4XSRfj2eZOl,0.377,0.595,3,-5.936,1,0.0489,0.0,0.095,0.264,144.464,290900,4,0
14,14,Barenaked Ladies,Stunt,One Week,1C0pmryC2MdXfa7MZ9uIrU,0.7020000000000001,0.898,9,-6.002999999999999,1,0.0373,0.000154,0.0917,0.731,112.845,169760,4,1
92,92,John Legend,Love In The Future (Expanded Edition),All of Me,3U4isOIWM3VvDubwSI3y7a,0.42200000000000004,0.264,8,-7.064,1,0.0322,0.0,0.132,0.331,119.93,269560,4,0
53,53,Dean Lewis,A Place We Knew,Waves,6w8pFOKn42O418qwcQElZ3,0.518,0.7290000000000001,11,-7.193,0,0.0452,0.0,0.0643,0.34299999999999997,156.879,240013,4,0
1,1,American Authors,"Oh, What A Life",Best Day Of My Life,5Hroj5K7vLpIG4FNCRIjbP,0.6729999999999999,0.902,2,-2.392,1,0.0346,0.000262,0.0558,0.5379999999999999,100.012,194240,4,1
46,46,Stileto,State Of Mind,State Of Mind,65YiXAuE5eA8pWI4COEhmQ,0.506,0.7290000000000001,0,-4.414,0,0.133,1.11e-06,0.267,0.364,159.768,151500,4,0
49,49,Lewis Capaldi,Hold Me While You Wait,Hold Me While You Wait,6700Z4Izi8EbB6JNthU6Ma,0.688,0.53,11,-5.507000000000001,1,0.0333,0.0,0.0995,0.162,106.958,205687,4,0
59,59,Harry Styles,Fine Line,Falling,1ZMiCix7XSAbfAJlEZWMCp,0.5670000000000001,0.267,4,-6.502000000000001,1,0.0299,1.46e-06,0.08900000000000001,0.0592,110.01100000000001,240133,4,0
51,51,Kelly Clarkson,Breakaway,Because of You,0gJvqi9QyASOCtJu99tytc,0.5870000000000001,0.583,5,-5.284,0,0.0313,0.0,0.124,0.15,139.92,219493,4,0
